,ID,COMPANY,PROVINCE,geometry,index_right,Latitude,Longitude
4690,12315642,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.11145478483706 56.24131694029541),0,56.24131694029541,-122.11145478483706
4691,12315643,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.1113299047498 56.241373745704685),0,56.241373745704685,-122.1113299047498
4696,12315648,Crew Energy Inc.,BRITISH COLUMBIA,POINT (-121.18110020887852 56.16104383164022),0,56.16104383164022,-121.18110020887852
4698,12315650,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.8748862174852 57.554476333647806),0,57.554476333647806,-121.8748862174852
4700,12315652,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.74259520690154 55.81166320723527),0,55.81166320723527,-120.74259520690154
4701,12315653,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.87612893864946 57.537023600740945),0,57.537023600740945,-121.87612893864946
4702,12315654,ConocoPhillips Canada Resources Corp.,BRITISH COLUMBIA,POINT (-121.97369912249755 56.84978848230356),0,56.84978848230356,-121.97369912249755
4703,12315655,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.87881548733799 57.545058018957846),0,57.545058018957846,-121.87881548733799
4706,12315658,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.55557967787679 55.57268560431963),0,55.57268560431963,-120.55557967787679
4707,12315659,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.27859244063438 55.644280592578845),0,55.644280592578845,-120.27859244063438
4709,12315661,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.99958538932869 55.824268011537185),0,55.824268011537185,-120.99958538932869
4710,12315662,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.86340650169396 57.55029505584362),0,57.55029505584362,-121.86340650169396
4711,12315663,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.86345664519723 57.55050931342463),0,57.55050931342463,-121.86345664519723
4712,12315664,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.84458792769163 55.92506250031186),0,55.92506250031186,-120.84458792769163
4713,12315665,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.19690932652381 55.5765607710878),0,55.5765607710878,-120.19690932652381
4721,12315673,PETRONAS Energy Canada Ltd.,BRITISH COLUMBIA,POINT (-122.21786415114879 56.77062578879626),0,56.77062578879626,-122.21786415114879
4726,12315678,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.84496651889982 55.92499003769007),0,55.92499003769007,-120.84496651889982
4727,12315679,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.35992802590594 55.962625109916544),0,55.962625109916544,-120.35992802590594
4731,12315683,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.65205640061232 55.87549050916895),0,55.87549050916895,-120.65205640061232
4732,12315684,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.79080045314126 55.75412590334712),0,55.75412590334712,-120.79080045314126
4733,12315685,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.7907430876638 55.75412576995968),0,55.75412576995968,-120.7907430876638
4734,12315686,ARC Resources Ltd.,BRITISH COLUMBIA,POINT (-120.4254590180023 55.95169986201333),0,55.95169986201333,-120.4254590180023
4736,12315688,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.57018058710229 55.86798578486728),0,55.86798578486728,-120.57018058710229
4737,12315689,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.56994083040834 55.86798554330202),0,55.86798554330202,-120.56994083040834
4739,12315691,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.92055201412721 56.073814712411206),0,56.073814712411206,-120.92055201412721
4740,12315692,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.33367248766073 57.40549663793841),0,57.40549663793841,-121.33367248766073
4741,12315693,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.30586891407351 57.386418998915005),0,57.386418998915005,-121.30586891407351
4742,12315694,Murphy Oil Company Ltd.,BRITISH COLUMBIA,POINT (-120.49033168321075 55.66382621225306),0,55.66382621225306,-120.49033168321075
4743,12315695,Murphy Oil Company Ltd.,BRITISH COLUMBIA,POINT (-120.4901745773447 55.66382120046521),0,55.66382120046521,-120.4901745773447
4744,12315696,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.31376108506652 55.220187646659106),0,55.220187646659106,-120.31376108506652
4745,12315697,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.58598231694329 55.88285934585589),0,55.88285934585589,-120.58598231694329
4747,12315699,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.45887919375517 57.3624459289252),0,57.3624459289252,-121.45887919375517
4751,12315703,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-121.35518890892445 57.38120510501663),0,57.38120510501663,-121.35518890892445
4753,12315705,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-121.82878404554636 57.50780554331695),0,57.50780554331695,-121.82878404554636
